,n_refine,top1,std,median_backward,shine,fpn,refine
0,,93.512,0.15210626,209.0,False,False,False
1,10.0,93.47399,0.12986298,142.8,False,False,True
2,10.0,93.467995,0.15638326,157.0,True,False,True
3,10.0,93.602005,0.14147879,142.6,False,True,True
4,7.0,93.467995,0.14958589,108.0,False,False,True
5,7.0,93.498,0.23172565,119.0,True,False,True
6,7.0,93.495995,0.27557778,109.0,False,True,True
7,5.0,93.621994,0.12890144,86.4,False,False,True
8,5.0,93.54399,0.18575287,96.6,True,False,True
9,5.0,93.476,0.14759484,86.5,False,True,True
10,2.0,93.409996,0.15059815,53.7,False,False,True
11,2.0,93.404,0.14193195,58.9,True,False,True
12,2.0,93.478004,0.24854626,53.3,False,True,True
13,1.0,92.642,0.09927742,41.54,False,False,True
14,1.0,93.376,0.24063425,46.9,True,False,True
15,1.0,93.343994,0.18325926,41.58,False,True,True
16,0.0,93.091995,0.11338575,12.9,False,True,False
17,0.0,93.144,0.1843464,16.0,True,False,False
